# Pearl - Marine Biological Laboratory #1 - CHTH - ITRDB MA028
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/29076
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-29076.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma028-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ma028-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma028.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ma028.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2020-02-11
#--------------------
# File_Last_Modified_Date
#   Date: 2020-02-11
#--------------------
# Title
#   Study_Name: Pearl - Marine Biological Laboratory #1 - CHTH - ITRDB MA028
#--------------------
# Investigators
#   Investigators: Pearl, J.K.; Anchukaitis, K.J.(https://orcid.org/0000-0002-8509-8080); Pederson, N.(https://orcid.org/0000-0003-3830-263X); Donnelly, J.P.(https://orcid.org/0000-0002-3497-5944)
#--------------------
# Description_Notes_and_Keywords
#   Description: These data were collected as part of northeastern United States network of Atlantic white cedar. They were used to generate a gridded temperature reconstruction for the region. Two or three cores per tree were extracted from each tree and labelled as "A", "B" or "C" NOAA Template Raw Measurements file added 2020-05-11.
#--------------------
# Publication
#   Authors: Jessie K. Pearl, Kevin J. Anchukaitis, Neil Pederson, Jeffrey P. Donnelly
#   Journal_Name: Journal of Geophysical Research: Atmospheres
#   Published_Title: Multivariate Climate Field Reconstructions Using Tree Rings for the Northeastern United States
#   Published_Date_or_Year: 2020
#   Volume: 125
#   Pages: 
#   Issue: 1
#   Report_Number: 
#   DOI: 10.1029/2019JD031619
#   Full_Citation: None
#   Abstract: High-resolution paleoclimate records are essential for improving our understanding of internal variability and the detection and attribution of forced climate system responses. The densely populated northeastern United States is at risk from increasing temperatures, severe droughts, and extreme precipitation, but the region has limited annual and seasonal-resolution paleoclimate records beyond the instrumental record. Chamaecyparis thyoides, L. (B.S.P.), Atlantic white cedar, a wetland conifer found within 200 km of the Atlantic coastline of the United States, is a promising tree-ring proxy that can fill in these data gaps. Here, we develop and analyze a new network of Atlantic white cedar tree-ring chronologies across the northeastern United States and demonstrate that site selection is important for regional paleoclimate reconstructions. Ring width variability reflects winter through summer temperatures at inland and hydrologically stable sites in the northernmost section of the species' range. Ombrotrophic sites along the coast record hydrological signals and correlate with growing season precipitation. We demonstrate skillful regional climate field reconstructions for the last several centuries and show the increased skill from incorporating our moisture sensitive sites into broad-scale products like the North American Drought Atlas. This comprehensive understanding of the species' climate responses leads to a tree-ring network that provides the long-term multivariate climate context at multidecadal and centennial time scales for the large-scale ocean-atmospheric processes that influence the climate of the region. We use this network to examine the covariance of temperature and drought across the New England area over the past two centuries.
#--------------------
# Funding_Agency
#   Funding_Agency_Name: US National Science Foundation
#   Grant: AGS-1304262, AGS-1501856
#--------------------
# Site_Information
#   Site_Name: Marine Biological Laboratory #1
#   Location: Massachusetts
#   Northernmost_Latitude: 41.527
#   Southernmost_Latitude: 41.527
#   Easternmost_Longitude: -70.654
#   Westernmost_Longitude: -70.654
#   Elevation_m: 2
#--------------------
# Data_Collection
#   Collection_Name: MA028
#   First_Year: 1761
#   Last_Year: 2015
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Chamaecyparis thyoides (L.) B.S.P.
#   Common_Name: Atlantic white-cedar
#   Tree_Species_Code: CHTH
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## MLB01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MLB01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MLB07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MLB07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL08B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL11B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL11B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL12B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL12B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL13A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL13A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL13B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL13B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL14A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL14A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL14B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL14B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL15A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL15A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL15B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL15B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL16A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL16A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL16B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL16B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL18A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL18A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL18B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL18B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL19A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL19A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL19B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL19B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL20A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL20A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL20B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL20B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL21A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL21A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MBL21B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MBL21B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	MLB01A_raw	MBL02A_raw	MBL02B_raw	MBL03A_raw	MBL03B_raw	MBL04A_raw	MBL04B_raw	MBL05A_raw	MBL05B_raw	MBL06A_raw	MLB07A_raw	MBL07B_raw	MBL08A_raw	MBL08B_raw	MBL09A_raw	MBL10A_raw	MBL10B_raw	MBL11A_raw	MBL11B_raw	MBL12A_raw	MBL12B_raw	MBL13A_raw	MBL13B_raw	MBL14A_raw	MBL14B_raw	MBL15A_raw	MBL15B_raw	MBL16A_raw	MBL16B_raw	MBL18A_raw	MBL18B_raw	MBL19A_raw	MBL19B_raw	MBL20A_raw	MBL20B_raw	MBL21A_raw	MBL21B_raw
1761	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.644	NA	NA	NA	NA	NA	NA
1762	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.417	NA	NA	NA	NA	NA	NA
1763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.897	NA	NA	NA	NA	NA	NA
1764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.95	NA	NA	NA	NA	NA	NA
1765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.96	NA	NA	NA	NA	NA	NA
1766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.728	NA	NA	NA	NA	NA	NA
1767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.86	NA	NA	NA	NA	NA	NA
1768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.719	NA	NA	NA	NA	NA	NA
1769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.583	NA	NA	NA	NA	NA	NA
1770	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.473	NA	NA	NA	NA	NA	NA
1771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.592	NA	NA	NA	NA	NA	NA
1772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.107	NA	NA	NA	NA	NA	NA
1773	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.37	0.435	NA	NA	NA	NA	NA	NA
1774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.352	0.436	NA	NA	NA	NA	NA	NA
1775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.186	0.279	NA	NA	NA	NA	NA	NA
1776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.263	0.444	NA	NA	NA	NA	NA	NA
1777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.202	0.341	NA	NA	NA	NA	NA	NA
1778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.683	0.32	NA	NA	NA	NA	NA	NA
1779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.986	0.35	NA	NA	NA	NA	NA	NA
1780	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.551	0.501	NA	NA	NA	NA	NA	NA
1781	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.431	0.53	NA	NA	NA	NA	NA	NA
1782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.626	0.472	NA	NA	NA	NA	NA	NA
1783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.377	0.244	NA	NA	NA	NA	NA	NA
1784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.503	0.489	NA	NA	NA	NA	NA	NA
1785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.946	0.434	NA	NA	NA	NA	NA	NA
1786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.922	0.266	NA	NA	NA	NA	NA	NA
1787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.411	0.544	NA	NA	NA	NA	NA	NA
1788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.421	1.589	NA	NA	NA	NA	NA	NA
1789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.927	2.376	NA	NA	NA	NA	NA	NA
1790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.702	2.195	NA	NA	NA	NA	NA	NA
1791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.262	1.729	NA	NA	NA	NA	NA	NA
1792	NA	0.869	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.628	1.699	NA	NA	NA	NA	NA	NA
1793	NA	1.031	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.525	2.518	NA	NA	NA	NA	NA	NA
1794	NA	1.217	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.123	2.194	NA	NA	NA	NA	NA	NA
1795	NA	1.27	1.442	NA	NA	NA	NA	NA	NA	NA	NA	2.699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.56	2.694	NA	NA	NA	NA	NA	NA
1796	NA	1.346	1.21	NA	NA	NA	NA	NA	NA	NA	NA	2.73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.709	2.719	NA	NA	NA	NA	NA	NA
1797	NA	0.961	0.876	NA	NA	NA	NA	NA	NA	NA	NA	2.443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.009	1.799	NA	NA	NA	NA	NA	NA
1798	NA	1.194	0.998	NA	NA	NA	NA	NA	NA	NA	NA	3.003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.711	2.101	NA	NA	NA	NA	NA	NA
1799	NA	1.63	1.531	NA	NA	NA	NA	NA	NA	NA	NA	2.788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.901	2.756	NA	NA	NA	NA	NA	NA
1800	NA	1.709	0.881	NA	NA	NA	NA	NA	NA	NA	NA	3.133	NA	NA	NA	NA	NA	NA	1.088	NA	1.481	NA	NA	NA	3.087	NA	NA	NA	NA	2.999	3.898	NA	NA	NA	NA	NA	NA
1801	NA	1.115	0.87	NA	NA	NA	NA	NA	NA	NA	2.143	2.518	NA	NA	NA	NA	NA	NA	0.964	NA	1.172	NA	NA	NA	1.497	NA	NA	NA	NA	2.005	2.882	NA	NA	NA	NA	NA	NA
1802	NA	0.648	0.309	NA	NA	NA	NA	NA	NA	NA	1.683	2.156	NA	NA	NA	NA	NA	NA	0.874	NA	0.976	NA	NA	NA	1.97	NA	NA	NA	NA	1.402	1.167	NA	NA	NA	NA	NA	NA
1803	NA	1.071	0.685	NA	NA	NA	NA	NA	NA	NA	2.859	1.831	NA	NA	NA	NA	NA	NA	0.947	NA	1.109	NA	NA	NA	1.891	NA	NA	NA	NA	1.344	1.076	NA	NA	NA	NA	NA	NA
1804	NA	1.583	1.114	NA	NA	NA	NA	NA	NA	NA	2.765	2.237	NA	NA	NA	NA	NA	NA	1.472	NA	1.206	NA	NA	NA	2.862	NA	NA	NA	NA	1.747	1.348	NA	NA	NA	NA	NA	NA
1805	NA	1.818	1.315	NA	NA	NA	NA	NA	NA	NA	2.685	2.467	NA	NA	NA	NA	NA	NA	0.696	NA	1.033	NA	NA	NA	1.596	NA	NA	NA	1.069	1.667	1.531	NA	NA	NA	NA	NA	NA
1806	NA	1.036	0.995	NA	NA	NA	NA	NA	NA	NA	1.962	1.128	NA	NA	NA	NA	NA	NA	0.618	NA	0.695	NA	NA	NA	1.176	NA	NA	NA	0.845	1.142	1.043	NA	NA	NA	NA	1.097	NA
1807	NA	2.112	1.446	NA	NA	NA	NA	NA	NA	NA	2.987	2.204	NA	NA	NA	NA	NA	NA	0.987	NA	0.679	1.832	NA	NA	1.571	NA	NA	NA	1.149	2.222	3.651	NA	NA	NA	NA	1.622	NA
1808	NA	1.117	0.904	NA	NA	NA	NA	NA	NA	NA	2.106	1.687	NA	NA	NA	NA	NA	NA	0.613	NA	0.573	1.102	NA	1.036	1.082	NA	NA	NA	0.847	0.918	1.276	NA	NA	NA	NA	1.269	NA
1809	NA	0.639	0.567	NA	NA	NA	NA	NA	NA	NA	1.33	1.185	NA	NA	NA	NA	NA	NA	0.261	NA	0.419	0.9	NA	0.812	0.889	0.862	NA	NA	0.621	0.698	0.865	NA	NA	NA	NA	1.055	NA
1810	NA	0.764	0.637	NA	NA	NA	NA	NA	NA	NA	1.403	1.283	NA	NA	NA	NA	NA	NA	0.256	NA	0.162	1.207	NA	0.918	0.962	0.38	NA	NA	0.535	0.734	0.916	NA	NA	NA	NA	0.971	NA
1811	NA	1.022	0.713	NA	NA	NA	NA	NA	NA	NA	2.216	1.528	0.635	NA	NA	NA	0.557	NA	0.323	NA	0.215	1.269	NA	1.54	1.624	0.858	NA	NA	0.726	0.98	0.907	NA	NA	NA	NA	1.068	NA
1812	NA	1.443	1.294	NA	NA	NA	NA	NA	NA	NA	2.055	1.688	1.089	NA	NA	NA	0.813	NA	0.312	NA	0.317	1.378	NA	2.191	2.303	1.057	NA	NA	1.046	1.393	1.016	0.965	NA	NA	NA	1.469	NA
1813	NA	1.273	1.39	NA	NA	NA	NA	NA	NA	NA	2.524	1.876	1.109	NA	NA	NA	0.855	NA	0.314	NA	0.407	1.961	NA	1.856	2.406	1.535	NA	1.108	1.383	1.52	1.356	1.136	NA	NA	NA	1.727	NA
1814	NA	1.442	1.382	NA	NA	NA	NA	NA	NA	NA	2.135	1.731	0.862	NA	1.013	NA	1.062	NA	0.238	NA	0.393	1.892	NA	1.789	1.71	1.396	NA	1.199	1.378	1.168	0.981	1.138	NA	NA	NA	1.752	NA
1815	NA	1.04	1.08	NA	NA	NA	NA	NA	NA	NA	1.729	1.609	0.603	NA	0.706	NA	0.76	NA	0.271	NA	0.52	1.664	NA	1.663	1.207	1.394	NA	0.903	0.942	1.079	0.965	0.848	NA	NA	NA	1.139	NA
1816	NA	0.88	0.936	NA	NA	NA	0.438	NA	NA	NA	1.301	1.307	0.462	NA	0.665	NA	0.766	NA	0.283	NA	0.415	1.377	NA	1.008	0.952	1.331	NA	0.681	0.81	1.009	0.908	0.637	NA	NA	NA	0.843	NA
1817	NA	0.722	0.717	NA	NA	NA	0.366	NA	NA	NA	1.24	1.475	0.251	NA	0.567	NA	0.516	NA	0.232	NA	0.577	0.945	1.141	0.858	0.836	1.004	NA	0.465	0.88	0.895	1.213	0.524	NA	NA	NA	0.727	NA
1818	NA	0.525	0.612	NA	NA	NA	0.324	NA	NA	NA	1.025	1.295	0.352	NA	0.591	NA	0.425	NA	0.245	NA	0.467	0.66	0.793	1.036	0.816	1.217	NA	0.552	0.832	0.801	1.14	0.439	NA	NA	NA	0.502	NA
1819	NA	0.727	0.671	NA	NA	NA	0.572	NA	NA	NA	1.143	1.466	0.428	NA	0.608	NA	0.599	NA	0.262	NA	0.412	0.829	1.076	1.192	1.109	1.777	NA	0.598	0.847	0.976	1.136	0.483	NA	NA	NA	0.779	NA
1820	NA	0.896	0.977	NA	NA	NA	0.617	NA	NA	NA	1.658	1.322	0.575	NA	0.872	NA	0.765	0.492	1.134	NA	0.392	1.096	1.422	1.572	1.339	2.108	NA	0.707	0.678	0.988	1.116	0.721	NA	NA	NA	1.057	NA
1821	NA	1.071	1.389	NA	NA	NA	0.796	NA	NA	NA	1.452	1.643	0.661	NA	1.402	NA	1.012	0.564	0.867	NA	0.594	1.578	1.921	2.254	1.921	2.463	NA	1.067	1.437	1.268	1.197	1.017	NA	NA	NA	1.49	NA
1822	NA	0.743	1.024	NA	NA	NA	0.572	NA	NA	NA	1.19	1.134	0.5	NA	0.94	NA	0.572	0.467	0.504	NA	0.299	1.252	1.457	1.788	1.613	2.269	NA	1.133	1.265	1.014	0.912	0.664	NA	NA	NA	1.392	NA
1823	NA	0.656	1.394	NA	NA	NA	1.031	NA	NA	NA	1.151	1.347	0.704	NA	1.017	NA	0.685	0.53	1.573	NA	0.395	1.249	1.561	2.04	2.021	2.306	NA	1.225	1.053	1.162	0.998	0.472	NA	NA	NA	1.404	NA
1824	NA	0.743	1.201	NA	NA	NA	0.681	NA	0.889	NA	1.647	1.427	0.635	NA	1.223	NA	0.786	0.573	0.998	NA	0.598	1.26	1.94	2.291	1.929	2.075	NA	1.167	0.954	1.137	0.967	0.491	NA	NA	NA	1.169	NA
1825	NA	0.505	0.607	NA	NA	NA	0.298	NA	0.481	NA	0.944	1.189	0.307	NA	0.744	0.556	0.629	0.496	0.617	NA	0.162	0.835	1.214	1.259	1.421	2.093	NA	0.754	0.669	0.893	0.447	0.153	NA	NA	NA	1.146	NA
